,latitude,longitude,test
69,-2.84956,128.636577,5
70,-2.850137,128.544021,5
71,-2.850238,128.541194,5
72,-2.850853,129.709367,5
73,-2.85088,128.54566,5
74,-2.850908,128.545652,5
75,-2.85122,128.543059,5
76,-2.85122,128.54296,5
77,-2.851299,128.478211,5
78,-2.851332,128.54326,5
79,-2.851333,128.544351,5
80,-2.85136,128.54465,5
81,-2.851568,128.546234,5
82,-2.85157,128.47766,5
83,-2.85168,128.54812,5
84,-2.851738,128.548203,5
85,-2.851738,128.548203,5
86,-2.851748,128.474213,5
87,-2.852158,128.548946,5
88,-2.852532,128.476367,5
89,-2.85259,128.47481,5
90,-2.853165,129.721704,5
91,-2.853494,128.570722,5
92,-2.85356,128.56952,5
93,-2.854136,128.56169,5
94,-2.85529,128.90163,5
95,-2.856362,128.88579,5
96,-2.857087,128.738247,5
97,-2.857205,128.88316,5
98,-2.857516,128.88184,5
99,-2.857746,128.881318,5
100,-2.857764,128.426424,5
101,-2.85807,129.72282,5
102,-2.85934,128.73121,5
103,-2.86019,128.88242,5
104,-2.861565,128.724872,5
105,-2.861818,128.723344,5
106,-2.861964,128.72649,5
107,-2.862099,128.72389,5
108,-2.862191,128.72138,5
109,-2.86235,128.71465,5
110,-2.86275,128.71198,5
111,-2.862857,128.711123,5
112,-2.863227,128.420132,5
113,-2.863411,128.713541,5
114,-2.864211,128.341946,5
115,-2.864746,128.705881,5
116,-2.865292,129.720874,5
117,-2.8657,128.846771,5
118,-2.866988,128.71228,5
119,-2.87016,128.40293,5
120,-2.870266,128.400342,5
121,-2.870382,128.401055,5
122,-2.871088,128.40182,5
123,-2.871386,128.401473,5
124,-2.876646,129.715949,5
125,-2.8799,129.070483,5
126,-2.890225,129.776928,5
127,-2.89078,129.06653,5
128,-2.892925,128.977313,5
129,-2.898591,128.946226,5
130,-2.9009,129.300826,5
131,-2.903796,129.799535,10
132,-2.905978,129.791678,10
133,-2.90706,129.79059,10
134,-2.911014,129.298411,10
135,-2.91199,129.75765,10
136,-2.91238,129.756444,10
137,-2.914385,129.822621,10
138,-2.9144,129.77402,10
139,-2.914601,129.811936,10
140,-2.914694,129.8113,10
141,-2.914783,129.81145,10
142,-2.915412,129.796599,10
143,-2.91714,129.16648,10
144,-2.917331,129.29856,10
145,-2.91891,129.80803,10
146,-2.918918,129.790011,10
147,-2.918918,129.230727,10
148,-2.918918,129.790011,10
149,-2.91892,129.79001,10
150,-2.92081,129.23357,10
151,-2.921788,129.799955,10
152,-2.9225,129.23921,10
153,-2.92294,129.23681,10
154,-2.923151,129.23888,10
155,-2.92326,129.798648,10
156,-2.924001,129.239306,10
157,-2.924148,129.237388,10
158,-2.924355,129.23892,10
159,-2.924755,129.79398,10
160,-2.925575,129.794743,10
161,-2.925896,129.796217,10
162,-2.926489,129.81194,10
163,-2.927565,129.169857,10
164,-2.928623,129.800163,10
165,-2.928669,129.801144,10
166,-2.92867,129.80114,10
167,-2.928677,129.801215,10
168,-2.936063,129.081458,10
169,-2.936457,129.80782,10
170,-2.936936,129.792099,10
171,-2.936936,129.81014,10
172,-2.936936,129.792099,10
173,-2.937825,129.789753,10
174,-2.939588,129.751569,10
175,-2.947691,129.859679,10
176,-2.947898,129.1163,10
177,-2.948021,129.855386,10
178,-2.950475,128.124545,10
179,-2.951343,129.860706,10
180,-2.95257,128.137048,10
181,-2.952833,129.856756,10
182,-2.953601,128.129034,10
183,-2.953729,128.490419,10
184,-2.954204,129.115087,10
185,-2.954705,128.11848,10
186,-2.954954,128.116292,10
187,-2.954954,129.866367,10
188,-2.954954,129.180771,10
189,-2.954954,128.116292,10
190,-2.955141,128.121812,10
191,-2.955265,128.120093,10
192,-2.955406,128.116563,10
193,-2.955814,129.181836,10
194,-2.955845,128.121473,10
195,-2.95661,129.1164,10
196,-2.956629,128.117796,10
197,-2.95669,129.857763,10
198,-2.957145,129.18439,10
199,-2.95724,128.115593,10
200,-2.95733,129.85742,10
201,-2.95754,129.18183,10
202,-2.957857,129.860061,10
203,-2.95798,129.11842,10
204,-2.95803,129.178043,10
205,-2.958185,129.115563,10
206,-2.959591,128.11949,10
207,-2.960088,128.125765,10
208,-2.963056,129.838841,10
209,-2.965063,128.12476,10
210,-2.971511,129.924998,10
211,-2.97189,128.115651,10
212,-2.972098,128.125765,10
213,-2.972972,129.922609,10
214,-2.972972,129.86848,10
215,-2.972972,129.904566,10
216,-2.97298,128.11837,10
217,-2.973137,129.928791,10
218,-2.974541,128.12796,10
219,-2.977605,127.948803,10
220,-2.97795,129.9277,10
221,-2.978152,129.928677,10
222,-2.9783,129.84275,10
223,-2.97947,129.90608,10
224,-2.97972,128.14193,10
225,-2.981957,129.92835,10
226,-2.983065,129.859666,10
227,-2.98315,129.86522,10
228,-2.983196,129.041929,10
229,-2.984078,129.878698,10
230,-2.984213,128.087678,10
231,-2.98431,129.927719,10
232,-2.98474,129.92841,10
233,-2.986007,128.138638,10
234,-2.986569,128.09009,10
235,-2.988127,129.801912,10
236,-2.988199,128.451421,10
237,-2.988373,129.809015,10
238,-2.99021,128.13911,10
239,-2.990568,129.921252,10
240,-2.99099,129.924737,10
241,-2.99099,129.83452,10
242,-2.99099,129.816481,10
243,-2.99099,129.906694,10
244,-2.99099,129.924737,10
