,maid,longitude,latitude,horizontal_accuracy,city_hasc,postcode,Date,Hour,count,Y,Color
33005,91bb706318f602b726f6042d2d5b3eedd48a0974,128.198843,-3.680428,6.0,ID.MA.AM,97128.0,16-06-21,00:09:54,1399,0.999,green
205680,5b51aa3b9690351d790c6f8a2793480d44182bc7,128.189044,-3.657657,5.0,ID.MA.AM,97223.0,16-06-21,00:10:01,151,1.0,green
241410,754b8e93a76db23ff144c6a0d7a9fb2cb2789055,128.1473,-3.72836,11.0,ID.MA.AM,97117.0,16-06-21,00:10:07,2147,0.999,green
664311,9a5ca3b60661b70ea4d728d9948c78acad676eef,128.09543,-3.79004,15.0,ID.MA.AM,97118.0,16-06-21,00:10:36,2,1.0,green
664312,9a5ca3b60661b70ea4d728d9948c78acad676eef,128.09544,-3.790021,15.0,ID.MA.AM,97118.0,16-06-21,00:10:46,2,0.999,green
323775,1d91fef5eefe0a5cbd9e532a35129f5e25a3698c,128.16882,-3.66171,7.0,ID.MA.AM,97224.0,16-06-21,00:11:02,259,1.0,green
664313,9c9a5f538c1bad90baec90cf9aa31be2f48b1b85,128.96235,-3.29888,7.0,ID.MA.MT,97544.0,16-06-21,00:11:06,2,0.999,green
241411,754b8e93a76db23ff144c6a0d7a9fb2cb2789055,128.1473,-3.728356,7.0,ID.MA.AM,97117.0,16-06-21,00:11:29,2147,1.0,green
167738,2e11f08c2a0bf2cc5c0f3637174f7b8584158b3f,128.25613,-3.62162,7.0,ID.MA.AM,97214.0,16-06-21,00:11:31,148,0.999,green
241412,754b8e93a76db23ff144c6a0d7a9fb2cb2789055,128.1473,-3.728356,11.0,ID.MA.AM,97117.0,16-06-21,00:11:32,2147,1.0,green
156685,4ba37ff33960043064a5e56dca8e31b3f3bed97b,128.18882,-3.69379,8.0,ID.MA.AM,97121.0,16-06-21,00:11:35,278,0.999,green
156686,4ba37ff33960043064a5e56dca8e31b3f3bed97b,128.18882,-3.69379,8.0,ID.MA.AM,97121.0,16-06-21,00:11:40,278,1.0,green
241413,754b8e93a76db23ff144c6a0d7a9fb2cb2789055,128.1473,-3.72837,11.0,ID.MA.AM,97117.0,16-06-21,00:11:41,2147,0.999,green
167739,2e11f08c2a0bf2cc5c0f3637174f7b8584158b3f,128.256132,-3.621621,7.0,ID.MA.AM,97214.0,16-06-21,00:11:42,148,1.0,green
664315,7e917addacb51400c35560fd64d439fea9521335,128.16101,-3.662584,7.0,ID.MA.AM,97225.0,16-06-21,00:11:47,1,0.999,green
323776,1d91fef5eefe0a5cbd9e532a35129f5e25a3698c,128.16882,-3.66171,7.0,ID.MA.AM,97224.0,16-06-21,00:11:51,259,1.0,green
664314,9c9a5f538c1bad90baec90cf9aa31be2f48b1b85,128.96234,-3.29887,7.0,ID.MA.MT,97544.0,16-06-21,00:11:56,2,0.999,green
54865,0ed6cba4475d3c353164c4f4f32a6dbc12968d23,128.22682,-3.684166,10.0,ID.MA.AM,97128.0,16-06-21,00:12:00,372,1.0,green
162917,5c05262d08fe85436782447d775023730d1f2bd5,128.66375,-3.56757,5.0,ID.MA.MT,97546.0,16-06-21,00:12:08,132,1.0,green
31233,baa0dfbdc60a983d8d04950d779f06c6d64ae191,128.178191,-3.699091,9.0,ID.MA.AM,97126.0,16-06-21,00:12:19,82,0.999,green
39399,76580200804f66c151905a7b1fd40f98ec3f6b9e,128.24097,-3.63118,16.0,ID.MA.AM,97215.0,16-06-21,00:12:20,91,1.0,green
