,maid,longitude,latitude,horizontal_accuracy,city_hasc,postcode,Date,Hour,count,Y,Color
67,013cb65725925cabfe6ff2273c1fe1c96d403ae7,128.18262,-3.66007,3.0,ID.MA.AM,97223.0,16-06-21,15:03:25,5,1.0,green
68,821377d6ce4c9095bead8537843a3cd8b1b11115,128.188818,-3.64843,4.0,ID.MA.AM,97228.0,16-06-21,15:03:25,8,0.999,green
69,ec3518ed3c5deeeef8c1349a18ae6c847876bfdc,128.18676,-3.65734,48.9,ID.MA.AM,97223.0,16-06-21,15:03:29,661,0.999,green
70,bf21f1015c69bcb58a43c6a39c77ff1a5a8895bc,128.185298,-3.694271,10.0,ID.MA.AM,97124.0,16-06-21,15:03:30,7,1.0,green
71,d4d2dd2c0c88b06f45a7ec2ad614bd2bc93a7b33,128.225517,-3.631369,6.0,ID.MA.AM,97217.0,16-06-21,15:03:30,10,0.999,green
73,bf21f1015c69bcb58a43c6a39c77ff1a5a8895bc,128.1853,-3.69429,4.0,ID.MA.AM,97124.0,16-06-21,15:03:31,7,0.999,green
72,013cb65725925cabfe6ff2273c1fe1c96d403ae7,128.182628,-3.660063,7.0,ID.MA.AM,97223.0,16-06-21,15:03:31,5,1.0,green
74,bf21f1015c69bcb58a43c6a39c77ff1a5a8895bc,128.185298,-3.694271,15.0,ID.MA.AM,97124.0,16-06-21,15:03:34,7,1.0,green
75,6b5c374b1365747aa16e4453d87e0672c22c0047,128.33511,-3.59278,8.0,ID.MA.MT,97544.0,16-06-21,15:03:36,99,1.0,green
76,bf21f1015c69bcb58a43c6a39c77ff1a5a8895bc,128.185298,-3.694271,8.0,ID.MA.AM,97124.0,16-06-21,15:03:40,7,0.999,green
77,4216734a643e2dfeb14b703f98ce1ab5472f6e83,127.9602,-3.00901,15.0,ID.MA.SB,,16-06-21,15:03:41,129,1.0,green
78,bf21f1015c69bcb58a43c6a39c77ff1a5a8895bc,128.185298,-3.694271,4.0,ID.MA.AM,97124.0,16-06-21,15:03:42,7,0.999,green
79,bf21f1015c69bcb58a43c6a39c77ff1a5a8895bc,128.1853,-3.69429,15.0,ID.MA.AM,97124.0,16-06-21,15:03:43,7,1.0,green
80,6b5c374b1365747aa16e4453d87e0672c22c0047,128.33511,-3.59279,8.0,ID.MA.MT,97544.0,16-06-21,15:03:46,99,0.999,green
81,274d0909b89d0558017b8f350bf82d8da666b2f0,128.85406,-3.219576,7.0,ID.MA.MT,97544.0,16-06-21,15:03:50,2,1.0,green
82,db917af1f3c18c5ec80f99ad61ca28d5b8e3c81d,128.34308,-3.511259,8.0,ID.MA.MT,97544.0,16-06-21,15:03:51,30,0.999,green
83,dc74ad468f90d770c0105caf672e8ade9c0ca1dd,128.044133,-3.08781,11.0,ID.MA.SB,97572.0,16-06-21,15:03:52,2,1.0,green
84,26e6ac22a806636151745aa062bfca534c6faeba,129.633846,-3.309396,6.0,ID.MA.MT,97544.0,16-06-21,15:03:55,3,0.999,green
85,e98dd705d6744de89229eac1962bfe3b5863e61a,128.186738,-3.688564,9.0,ID.MA.AM,97123.0,16-06-21,15:03:57,118,1.0,green
86,dc74ad468f90d770c0105caf672e8ade9c0ca1dd,128.044133,-3.08781,19.0,ID.MA.SB,97572.0,16-06-21,15:04:01,2,0.999,green
88,26e6ac22a806636151745aa062bfca534c6faeba,129.633846,-3.309396,9.0,ID.MA.MT,97544.0,16-06-21,15:04:05,3,0.999,green
87,9682b65f3c223e3b0870819b451d5227ef3b1993,128.213969,-3.659337,9.0,ID.MA.AM,97212.0,16-06-21,15:04:05,1,0.999,green
89,e98dd705d6744de89229eac1962bfe3b5863e61a,128.186738,-3.688564,5.0,ID.MA.AM,97123.0,16-06-21,15:04:08,118,0.999,green
90,ceb6d4a662f9e9bb18fee1553434739594c4fee0,128.193456,-3.678313,12.0,ID.MA.AM,97129.0,16-06-21,15:04:11,9,1.0,green
91,db917af1f3c18c5ec80f99ad61ca28d5b8e3c81d,128.34308,-3.511259,3.0,ID.MA.MT,97544.0,16-06-21,15:04:13,30,0.999,green
92,2b16a9284034b61aac92926f178fde7dde5da3d3,128.35616,-3.328756,12.0,ID.MA.SB,97566.0,16-06-21,15:04:13,1411,1.0,green
93,fc756a01416ab4ef7963e0e3ebf3d5256409b870,128.19142,-3.692256,11.0,ID.MA.AM,97121.0,16-06-21,15:04:20,2,0.999,green
94,ef6aa7938f6644d45be21c0479ed6fdaf4143b5e,128.967722,-3.301904,5.0,ID.MA.MT,97544.0,16-06-21,15:04:27,29,0.999,green
95,bf1501baeb9e30379dfe46f9038595e5d0664b5a,128.199499,-3.659459,13.0,ID.MA.AM,97222.0,16-06-21,15:04:31,11,0.999,green
96,bf1501baeb9e30379dfe46f9038595e5d0664b5a,128.199499,-3.659459,18.0,ID.MA.AM,97222.0,16-06-21,15:04:34,11,1.0,green
97,3d9e143628cb8d75583d4a6e317cc419a74d618a,128.954557,-3.315315,9.0,ID.MA.MT,97544.0,16-06-21,15:04:35,21,0.999,green
98,3d9e143628cb8d75583d4a6e317cc419a74d618a,128.954557,-3.315315,19.0,ID.MA.MT,97544.0,16-06-21,15:04:36,21,0.999,green
99,572e5e889565a29025ff479d1083f244e00f5959,128.20334,-3.072599,5.0,ID.MA.SB,97561.0,16-06-21,15:04:39,96,0.999,green
100,bff536860d690296bca22b3deb27b6e4ce941ad4,127.994556,-3.372566,9.0,ID.MA.SB,97571.0,16-06-21,15:04:39,1,1.0,green
101,8a812a2584130f0db9231d35eaf0e39265972a8b,128.15866,-3.70741,10.0,ID.MA.AM,97117.0,16-06-21,15:04:40,86,1.0,green
102,8a812a2584130f0db9231d35eaf0e39265972a8b,128.15866,-3.707405,6.0,ID.MA.AM,97117.0,16-06-21,15:04:45,86,1.0,green
103,d22121e8d64516109c4038112495a59393fc9569,128.36131,-3.333333,14.0,ID.MA.SB,97566.0,16-06-21,15:04:46,12,0.999,green
104,09d651945a48923383fd4b64c0f91acf4a6b7684,128.190298,-3.687035,13.0,ID.MA.AM,97122.0,16-06-21,15:04:47,2666,1.0,green
105,bf1501baeb9e30379dfe46f9038595e5d0664b5a,128.199499,-3.659459,11.0,ID.MA.AM,97222.0,16-06-21,15:04:53,11,1.0,green
106,ef6aa7938f6644d45be21c0479ed6fdaf4143b5e,128.967722,-3.301904,5.0,ID.MA.MT,97544.0,16-06-21,15:04:57,29,0.999,green
107,ef6aa7938f6644d45be21c0479ed6fdaf4143b5e,128.967722,-3.301904,7.0,ID.MA.MT,97544.0,16-06-21,15:05:01,29,0.999,green
